ID,Product ID,Category,Subcategory,Brand,Product / Label,Style / Age / Flavour,Country / Region,Bottle Size,Size (ml),Notes
18,2,Beer / Stout / Malt,Ale,Samuel Adams,Samuel Adams Cherry Wheat,Cherry Wheat,United States,440 ml,440,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
19,2,Beer / Stout / Malt,Ale,Samuel Adams,Samuel Adams Cherry Wheat,Cherry Wheat,United States,473 ml,473,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
20,2,Beer / Stout / Malt,Ale,Samuel Adams,Samuel Adams Cherry Wheat,Cherry Wheat,United States,500 ml,500,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
21,2,Beer / Stout / Malt,Ale,Samuel Adams,Samuel Adams Cherry Wheat,Cherry Wheat,United States,650 ml,650,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
22,2,Beer / Stout / Malt,Ale,Samuel Adams,Samuel Adams Cherry Wheat,Cherry Wheat,United States,750 ml,750,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
23,3,Beer / Stout / Malt,Ale,Samuel Adams,Samuel Adams Cold Snap,Cold Snap,United States,250 ml,250,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
24,3,Beer / Stout / Malt,Ale,Samuel Adams,Samuel Adams Cold Snap,Cold Snap,United States,275 ml,275,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
25,3,Beer / Stout / Malt,Ale,Samuel Adams,Samuel Adams Cold Snap,Cold Snap,United States,300 ml,300,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
26,3,Beer / Stout / Malt,Ale,Samuel Adams,Samuel Adams Cold Snap,Cold Snap,United States,330 ml,330,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
27,3,Beer / Stout / Malt,Ale,Samuel Adams,Samuel Adams Cold Snap,Cold Snap,United States,341 ml,341,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
28,3,Beer / Stout / Malt,Ale,Samuel Adams,Samuel Adams Cold Snap,Cold Snap,United States,355 ml,355,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
29,3,Beer / Stout / Malt,Ale,Samuel Adams,Samuel Adams Cold Snap,Cold Snap,United States,440 ml,440,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
30,3,Beer / Stout / Malt,Ale,Samuel Adams,Samuel Adams Cold Snap,Cold Snap,United States,473 ml,473,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
31,3,Beer / Stout / Malt,Ale,Samuel Adams,Samuel Adams Cold Snap,Cold Snap,United States,500 ml,500,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
32,3,Beer / Stout / Malt,Ale,Samuel Adams,Samuel Adams Cold Snap,Cold Snap,United States,650 ml,650,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
33,3,Beer / Stout / Malt,Ale,Samuel Adams,Samuel Adams Cold Snap,Cold Snap,United States,750 ml,750,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
34,4,Beer / Stout / Malt,Ale,Samuel Adams,Samuel Adams Just the Haze,Just the Haze,United States,250 ml,250,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
35,4,Beer / Stout / Malt,Ale,Samuel Adams,Samuel Adams Just the Haze,Just the Haze,United States,275 ml,275,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
36,4,Beer / Stout / Malt,Ale,Samuel Adams,Samuel Adams Just the Haze,Just the Haze,United States,300 ml,300,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
37,4,Beer / Stout / Malt,Ale,Samuel Adams,Samuel Adams Just the Haze,Just the Haze,United States,330 ml,330,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
38,4,Beer / Stout / Malt,Ale,Samuel Adams,Samuel Adams Just the Haze,Just the Haze,United States,341 ml,341,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
39,4,Beer / Stout / Malt,Ale,Samuel Adams,Samuel Adams Just the Haze,Just the Haze,United States,355 ml,355,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
40,4,Beer / Stout / Malt,Ale,Samuel Adams,Samuel Adams Just the Haze,Just the Haze,United States,440 ml,440,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
41,4,Beer / Stout / Malt,Ale,Samuel Adams,Samuel Adams Just the Haze,Just the Haze,United States,473 ml,473,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
42,4,Beer / Stout / Malt,Ale,Samuel Adams,Samuel Adams Just the Haze,Just the Haze,United States,500 ml,500,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
43,4,Beer / Stout / Malt,Ale,Samuel Adams,Samuel Adams Just the Haze,Just the Haze,United States,650 ml,650,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
44,4,Beer / Stout / Malt,Ale,Samuel Adams,Samuel Adams Just the Haze,Just the Haze,United States,750 ml,750,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
45,5,Beer / Stout / Malt,Ale,Samuel Adams,Samuel Adams OctoberFest,OctoberFest,United States,250 ml,250,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
46,5,Beer / Stout / Malt,Ale,Samuel Adams,Samuel Adams OctoberFest,OctoberFest,United States,275 ml,275,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
47,5,Beer / Stout / Malt,Ale,Samuel Adams,Samuel Adams OctoberFest,OctoberFest,United States,300 ml,300,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
48,5,Beer / Stout / Malt,Ale,Samuel Adams,Samuel Adams OctoberFest,OctoberFest,United States,330 ml,330,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
49,5,Beer / Stout / Malt,Ale,Samuel Adams,Samuel Adams OctoberFest,OctoberFest,United States,341 ml,341,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
50,5,Beer / Stout / Malt,Ale,Samuel Adams,Samuel Adams OctoberFest,OctoberFest,United States,355 ml,355,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
51,5,Beer / Stout / Malt,Ale,Samuel Adams,Samuel Adams OctoberFest,OctoberFest,United States,440 ml,440,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
52,5,Beer / Stout / Malt,Ale,Samuel Adams,Samuel Adams OctoberFest,OctoberFest,United States,473 ml,473,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
53,5,Beer / Stout / Malt,Ale,Samuel Adams,Samuel Adams OctoberFest,OctoberFest,United States,500 ml,500,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
54,5,Beer / Stout / Malt,Ale,Samuel Adams,Samuel Adams OctoberFest,OctoberFest,United States,650 ml,650,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
55,5,Beer / Stout / Malt,Ale,Samuel Adams,Samuel Adams OctoberFest,OctoberFest,United States,750 ml,750,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
56,6,Beer / Stout / Malt,Ale,Samuel Adams,Samuel Adams Summer Ale,Summer Ale,United States,250 ml,250,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
57,6,Beer / Stout / Malt,Ale,Samuel Adams,Samuel Adams Summer Ale,Summer Ale,United States,275 ml,275,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
58,6,Beer / Stout / Malt,Ale,Samuel Adams,Samuel Adams Summer Ale,Summer Ale,United States,300 ml,300,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
59,6,Beer / Stout / Malt,Ale,Samuel Adams,Samuel Adams Summer Ale,Summer Ale,United States,330 ml,330,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
60,6,Beer / Stout / Malt,Ale,Samuel Adams,Samuel Adams Summer Ale,Summer Ale,United States,341 ml,341,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
61,6,Beer / Stout / Malt,Ale,Samuel Adams,Samuel Adams Summer Ale,Summer Ale,United States,355 ml,355,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
62,6,Beer / Stout / Malt,Ale,Samuel Adams,Samuel Adams Summer Ale,Summer Ale,United States,440 ml,440,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
63,6,Beer / Stout / Malt,Ale,Samuel Adams,Samuel Adams Summer Ale,Summer Ale,United States,473 ml,473,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
64,6,Beer / Stout / Malt,Ale,Samuel Adams,Samuel Adams Summer Ale,Summer Ale,United States,500 ml,500,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
65,6,Beer / Stout / Malt,Ale,Samuel Adams,Samuel Adams Summer Ale,Summer Ale,United States,650 ml,650,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
66,6,Beer / Stout / Malt,Ale,Samuel Adams,Samuel Adams Summer Ale,Summer Ale,United States,750 ml,750,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
67,7,Beer / Stout / Malt,Ale,Samuel Adams,Samuel Adams Winter Lager,Winter Lager,United States,250 ml,250,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
68,7,Beer / Stout / Malt,Ale,Samuel Adams,Samuel Adams Winter Lager,Winter Lager,United States,275 ml,275,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
69,7,Beer / Stout / Malt,Ale,Samuel Adams,Samuel Adams Winter Lager,Winter Lager,United States,300 ml,300,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
70,7,Beer / Stout / Malt,Ale,Samuel Adams,Samuel Adams Winter Lager,Winter Lager,United States,330 ml,330,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
71,7,Beer / Stout / Malt,Ale,Samuel Adams,Samuel Adams Winter Lager,Winter Lager,United States,341 ml,341,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
72,7,Beer / Stout / Malt,Ale,Samuel Adams,Samuel Adams Winter Lager,Winter Lager,United States,355 ml,355,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
73,7,Beer / Stout / Malt,Ale,Samuel Adams,Samuel Adams Winter Lager,Winter Lager,United States,440 ml,440,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
74,7,Beer / Stout / Malt,Ale,Samuel Adams,Samuel Adams Winter Lager,Winter Lager,United States,473 ml,473,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
75,7,Beer / Stout / Malt,Ale,Samuel Adams,Samuel Adams Winter Lager,Winter Lager,United States,500 ml,500,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
76,7,Beer / Stout / Malt,Ale,Samuel Adams,Samuel Adams Winter Lager,Winter Lager,United States,650 ml,650,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
77,7,Beer / Stout / Malt,Ale,Samuel Adams,Samuel Adams Winter Lager,Winter Lager,United States,750 ml,750,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
78,8,Beer / Stout / Malt,Belgian Ale,Chimay,Chimay Blue,Blue,Belgium,250 ml,250,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
79,8,Beer / Stout / Malt,Belgian Ale,Chimay,Chimay Blue,Blue,Belgium,275 ml,275,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
80,8,Beer / Stout / Malt,Belgian Ale,Chimay,Chimay Blue,Blue,Belgium,300 ml,300,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
81,8,Beer / Stout / Malt,Belgian Ale,Chimay,Chimay Blue,Blue,Belgium,330 ml,330,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
82,8,Beer / Stout / Malt,Belgian Ale,Chimay,Chimay Blue,Blue,Belgium,341 ml,341,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
83,8,Beer / Stout / Malt,Belgian Ale,Chimay,Chimay Blue,Blue,Belgium,355 ml,355,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
84,8,Beer / Stout / Malt,Belgian Ale,Chimay,Chimay Blue,Blue,Belgium,440 ml,440,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
85,8,Beer / Stout / Malt,Belgian Ale,Chimay,Chimay Blue,Blue,Belgium,473 ml,473,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
86,8,Beer / Stout / Malt,Belgian Ale,Chimay,Chimay Blue,Blue,Belgium,500 ml,500,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
87,8,Beer / Stout / Malt,Belgian Ale,Chimay,Chimay Blue,Blue,Belgium,650 ml,650,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
88,8,Beer / Stout / Malt,Belgian Ale,Chimay,Chimay Blue,Blue,Belgium,750 ml,750,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
89,9,Beer / Stout / Malt,Belgian Ale,Chimay,Chimay Gold,Gold,Belgium,250 ml,250,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
90,9,Beer / Stout / Malt,Belgian Ale,Chimay,Chimay Gold,Gold,Belgium,275 ml,275,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
91,9,Beer / Stout / Malt,Belgian Ale,Chimay,Chimay Gold,Gold,Belgium,300 ml,300,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
92,9,Beer / Stout / Malt,Belgian Ale,Chimay,Chimay Gold,Gold,Belgium,330 ml,330,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
93,9,Beer / Stout / Malt,Belgian Ale,Chimay,Chimay Gold,Gold,Belgium,341 ml,341,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
94,9,Beer / Stout / Malt,Belgian Ale,Chimay,Chimay Gold,Gold,Belgium,355 ml,355,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
95,9,Beer / Stout / Malt,Belgian Ale,Chimay,Chimay Gold,Gold,Belgium,440 ml,440,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
96,9,Beer / Stout / Malt,Belgian Ale,Chimay,Chimay Gold,Gold,Belgium,473 ml,473,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
97,9,Beer / Stout / Malt,Belgian Ale,Chimay,Chimay Gold,Gold,Belgium,500 ml,500,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
98,9,Beer / Stout / Malt,Belgian Ale,Chimay,Chimay Gold,Gold,Belgium,650 ml,650,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
99,9,Beer / Stout / Malt,Belgian Ale,Chimay,Chimay Gold,Gold,Belgium,750 ml,750,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
100,10,Beer / Stout / Malt,Belgian Ale,Chimay,Chimay Green,Green,Belgium,250 ml,250,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
101,10,Beer / Stout / Malt,Belgian Ale,Chimay,Chimay Green,Green,Belgium,275 ml,275,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
102,10,Beer / Stout / Malt,Belgian Ale,Chimay,Chimay Green,Green,Belgium,300 ml,300,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
103,10,Beer / Stout / Malt,Belgian Ale,Chimay,Chimay Green,Green,Belgium,330 ml,330,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
104,10,Beer / Stout / Malt,Belgian Ale,Chimay,Chimay Green,Green,Belgium,341 ml,341,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
105,10,Beer / Stout / Malt,Belgian Ale,Chimay,Chimay Green,Green,Belgium,355 ml,355,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
106,10,Beer / Stout / Malt,Belgian Ale,Chimay,Chimay Green,Green,Belgium,440 ml,440,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
107,10,Beer / Stout / Malt,Belgian Ale,Chimay,Chimay Green,Green,Belgium,473 ml,473,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
108,10,Beer / Stout / Malt,Belgian Ale,Chimay,Chimay Green,Green,Belgium,500 ml,500,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
109,10,Beer / Stout / Malt,Belgian Ale,Chimay,Chimay Green,Green,Belgium,650 ml,650,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
110,10,Beer / Stout / Malt,Belgian Ale,Chimay,Chimay Green,Green,Belgium,750 ml,750,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
111,11,Beer / Stout / Malt,Belgian Ale,Chimay,Chimay Red,Red,Belgium,250 ml,250,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
112,11,Beer / Stout / Malt,Belgian Ale,Chimay,Chimay Red,Red,Belgium,275 ml,275,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
113,11,Beer / Stout / Malt,Belgian Ale,Chimay,Chimay Red,Red,Belgium,300 ml,300,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
114,11,Beer / Stout / Malt,Belgian Ale,Chimay,Chimay Red,Red,Belgium,330 ml,330,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
115,11,Beer / Stout / Malt,Belgian Ale,Chimay,Chimay Red,Red,Belgium,341 ml,341,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
116,11,Beer / Stout / Malt,Belgian Ale,Chimay,Chimay Red,Red,Belgium,355 ml,355,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
117,11,Beer / Stout / Malt,Belgian Ale,Chimay,Chimay Red,Red,Belgium,440 ml,440,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
118,11,Beer / Stout / Malt,Belgian Ale,Chimay,Chimay Red,Red,Belgium,473 ml,473,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
119,11,Beer / Stout / Malt,Belgian Ale,Chimay,Chimay Red,Red,Belgium,500 ml,500,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
120,11,Beer / Stout / Malt,Belgian Ale,Chimay,Chimay Red,Red,Belgium,650 ml,650,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
121,11,Beer / Stout / Malt,Belgian Ale,Chimay,Chimay Red,Red,Belgium,750 ml,750,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
122,12,Beer / Stout / Malt,Belgian Ale,Chimay,Chimay White,White,Belgium,250 ml,250,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
123,12,Beer / Stout / Malt,Belgian Ale,Chimay,Chimay White,White,Belgium,275 ml,275,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
124,12,Beer / Stout / Malt,Belgian Ale,Chimay,Chimay White,White,Belgium,300 ml,300,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
125,12,Beer / Stout / Malt,Belgian Ale,Chimay,Chimay White,White,Belgium,330 ml,330,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
126,12,Beer / Stout / Malt,Belgian Ale,Chimay,Chimay White,White,Belgium,341 ml,341,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
127,12,Beer / Stout / Malt,Belgian Ale,Chimay,Chimay White,White,Belgium,355 ml,355,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
128,12,Beer / Stout / Malt,Belgian Ale,Chimay,Chimay White,White,Belgium,440 ml,440,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
129,12,Beer / Stout / Malt,Belgian Ale,Chimay,Chimay White,White,Belgium,473 ml,473,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
130,12,Beer / Stout / Malt,Belgian Ale,Chimay,Chimay White,White,Belgium,500 ml,500,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
131,12,Beer / Stout / Malt,Belgian Ale,Chimay,Chimay White,White,Belgium,650 ml,650,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
132,12,Beer / Stout / Malt,Belgian Ale,Chimay,Chimay White,White,Belgium,750 ml,750,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
133,13,Beer / Stout / Malt,Belgian Ale,Delirium,Delirium Christmas,Christmas,Belgium,250 ml,250,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
134,13,Beer / Stout / Malt,Belgian Ale,Delirium,Delirium Christmas,Christmas,Belgium,275 ml,275,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
135,13,Beer / Stout / Malt,Belgian Ale,Delirium,Delirium Christmas,Christmas,Belgium,300 ml,300,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
136,13,Beer / Stout / Malt,Belgian Ale,Delirium,Delirium Christmas,Christmas,Belgium,330 ml,330,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
137,13,Beer / Stout / Malt,Belgian Ale,Delirium,Delirium Christmas,Christmas,Belgium,341 ml,341,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
138,13,Beer / Stout / Malt,Belgian Ale,Delirium,Delirium Christmas,Christmas,Belgium,355 ml,355,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
139,13,Beer / Stout / Malt,Belgian Ale,Delirium,Delirium Christmas,Christmas,Belgium,440 ml,440,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
140,13,Beer / Stout / Malt,Belgian Ale,Delirium,Delirium Christmas,Christmas,Belgium,473 ml,473,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
141,13,Beer / Stout / Malt,Belgian Ale,Delirium,Delirium Christmas,Christmas,Belgium,500 ml,500,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
142,13,Beer / Stout / Malt,Belgian Ale,Delirium,Delirium Christmas,Christmas,Belgium,650 ml,650,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
143,13,Beer / Stout / Malt,Belgian Ale,Delirium,Delirium Christmas,Christmas,Belgium,750 ml,750,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
144,14,Beer / Stout / Malt,Belgian Ale,Delirium,Delirium Nocturnum,Nocturnum,Belgium,250 ml,250,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
145,14,Beer / Stout / Malt,Belgian Ale,Delirium,Delirium Nocturnum,Nocturnum,Belgium,275 ml,275,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
146,14,Beer / Stout / Malt,Belgian Ale,Delirium,Delirium Nocturnum,Nocturnum,Belgium,300 ml,300,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
147,14,Beer / Stout / Malt,Belgian Ale,Delirium,Delirium Nocturnum,Nocturnum,Belgium,330 ml,330,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
148,14,Beer / Stout / Malt,Belgian Ale,Delirium,Delirium Nocturnum,Nocturnum,Belgium,341 ml,341,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
149,14,Beer / Stout / Malt,Belgian Ale,Delirium,Delirium Nocturnum,Nocturnum,Belgium,355 ml,355,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
150,14,Beer / Stout / Malt,Belgian Ale,Delirium,Delirium Nocturnum,Nocturnum,Belgium,440 ml,440,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
151,14,Beer / Stout / Malt,Belgian Ale,Delirium,Delirium Nocturnum,Nocturnum,Belgium,473 ml,473,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
152,14,Beer / Stout / Malt,Belgian Ale,Delirium,Delirium Nocturnum,Nocturnum,Belgium,500 ml,500,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
153,14,Beer / Stout / Malt,Belgian Ale,Delirium,Delirium Nocturnum,Nocturnum,Belgium,650 ml,650,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
154,14,Beer / Stout / Malt,Belgian Ale,Delirium,Delirium Nocturnum,Nocturnum,Belgium,750 ml,750,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
155,15,Beer / Stout / Malt,Belgian Ale,Delirium,Delirium Red,Red,Belgium,250 ml,250,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
156,15,Beer / Stout / Malt,Belgian Ale,Delirium,Delirium Red,Red,Belgium,275 ml,275,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
157,15,Beer / Stout / Malt,Belgian Ale,Delirium,Delirium Red,Red,Belgium,300 ml,300,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
158,15,Beer / Stout / Malt,Belgian Ale,Delirium,Delirium Red,Red,Belgium,330 ml,330,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
159,15,Beer / Stout / Malt,Belgian Ale,Delirium,Delirium Red,Red,Belgium,341 ml,341,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
